Year,State/Region,Population,PCPersonalHealthcare,PCHospital,PCPhysician,PCOtherProfessionalService,PCHomeHealth,PCNursing,PCDrugs,PCPersonalIncome,PCEminushealthE,PCGDP,%change in MFP,Average Weekly hours worked,Total Hours Worked,"Labor Productivity (index, 2009 is base year)",Average hours per day spent purchasing goods & services
2003,Alabama,4503,4994,1680,1413,109,120,305,862,26513,18346,34855,2.5,32.7,186.157,89.182,0.81
2004,Alabama,4531,5252,1757,1436,121,141,320,958,28371,19403,36702,2.6,32.7,188.63,91.953,0.82
2005,Alabama,4570,5545,1919,1446,125,161,343,1000,29802,20586,37578,1.5,32.6,191.757,93.861,0.8
2006,Alabama,4629,5755,1980,1451,125,171,353,1103,31315,21322,37735,0.4,32.7,196.156,94.68,0.81
2007,Alabama,4673,5928,2007,1468,132,175,374,1155,32581,22058,37522,0.4,32.7,197.541,96.178,0.78
2008,Alabama,4718,6097,2031,1522,139,183,382,1194,33430,22344,36976,-1.2,32.5,193.44,96.951,0.77
2009,Alabama,4758,6325,2158,1551,143,193,376,1260,32685,21625,35376,-0.2,31.9,179.559,100,0.76
2010,Alabama,4785,6421,2201,1563,147,199,380,1259,33697,22304,35913,2.9,32.3,179.413,103.278,0.75
2011,Alabama,4800,6541,2248,1607,148,201,386,1242,34708,23136,36201,0.2,32.4,183.109,103.422,0.72
2012,Alabama,4816,6821,2440,1662,157,199,385,1272,35482,23490,36425,0.6,32.5,187.157,104.341,0.72
2013,Alabama,4829,6996,2573,1666,167,197,387,1283,35778,24055,36660,0.5,32.5,190.307,104.656,0.75
2014,Alabama,4843,7281,2625,1739,170,202,391,1407,36879,24637,36455,0.6,32.5,194.555,105.729,0.74
2003,Alaska,648,6099,2410,1756,225,61,163,633,35591,27139,59008,2.5,32.7,186.157,89.182,0.81
2004,Alaska,659,6455,2527,1911,250,93,166,645,36791,28584,60137,2.6,32.7,188.63,91.953,0.82
2005,Alaska,667,7145,2906,2075,263,98,167,683,38876,30159,61125,1.5,32.6,191.757,93.861,0.8
2006,Alaska,675,7476,3131,2128,264,92,166,739,40845,31440,64349,0.4,32.7,196.156,94.68,0.81
2007,Alaska,680,7975,3364,2241,295,83,172,781,43723,32738,67228,0.4,32.7,197.541,96.178,0.78
2008,Alaska,687,8447,3659,2324,322,90,171,763,47791,34061,67527,-1.2,32.5,193.44,96.951,0.77
2009,Alaska,699,8745,3815,2467,343,112,170,720,46834,33165,72204,-0.2,31.9,179.559,100,0.76
2010,Alaska,714,9129,3996,2598,341,147,171,680,48613,33937,69564,2.9,32.3,179.413,103.278,0.75
2011,Alaska,723,9586,4112,2822,378,183,173,664,51405,35380,70573,0.2,32.4,183.109,103.422,0.72
2012,Alaska,731,10130,4198,3069,406,222,179,640,52648,35997,73478,0.6,32.5,187.157,104.341,0.72
2013,Alaska,737,10428,4379,3179,435,210,188,584,51455,36873,69700,0.5,32.5,190.307,104.656,0.75
2014,Alaska,737,11064,4715,3368,465,195,204,640,54625,38099,67188,0.6,32.5,194.555,105.729,0.74
2003,Arizona,5510,4077,1401,1127,139,101,181,577,28166,21291,40769,2.5,32.7,186.157,89.182,0.81
2004,Arizona,5652,4387,1492,1212,158,112,184,622,29978,22716,41063,2.6,32.7,188.63,91.953,0.82
2005,Arizona,5839,4828,1739,1276,166,121,193,672,32288,24193,43018,1.5,32.6,191.757,93.861,0.8
2006,Arizona,6029,5103,1796,1322,176,116,198,758,34705,25774,44086,0.4,32.7,196.156,94.68,0.81
2007,Arizona,6168,5410,1897,1388,189,116,217,808,35751,26826,44168,0.4,32.7,197.541,96.178,0.78
2008,Arizona,6280,5660,1981,1478,203,129,232,814,35717,26428,41800,-1.2,32.5,193.44,96.951,0.77
2009,Arizona,6343,5874,2125,1532,208,134,235,785,33746,25099,38232,-0.2,31.9,179.559,100,0.76
2010,Arizona,6408,6027,2223,1566,211,125,258,768,33558,25606,37935,2.9,32.3,179.413,103.278,0.75
2011,Arizona,6467,6076,2206,1653,221,135,276,779,34921,26486,38257,0.2,32.4,183.109,103.422,0.72
2012,Arizona,6550,6183,2267,1693,225,141,284,759,36066,26894,38559,0.6,32.5,187.157,104.341,0.72
2013,Arizona,6625,6262,2334,1713,235,137,284,727,36558,27464,38303,0.5,32.5,190.307,104.656,0.75
2014,Arizona,6720,6452,2337,1774,248,136,286,814,38050,28350,38450,0.6,32.5,194.555,105.729,0.74
2003,Arkansas,2725,4616,1777,1091,136,115,338,686,25467,17550,33678,2.5,32.7,186.157,89.182,0.81
2004,Arkansas,2750,4899,1844,1181,146,111,351,735,26807,18526,34936,2.6,32.7,188.63,91.953,0.82
2005,Arkansas,2781,5254,1958,1287,150,115,374,795,27952,19612,35649,1.5,32.6,191.757,93.861,0.8
2006,Arkansas,2822,5469,2011,1334,153,104,385,887,29308,20546,35803,0.4,32.7,196.156,94.68,0.81
2007,Arkansas,2849,5766,2077,1395,173,106,410,968,30972,21721,35205,0.4,32.7,197.541,96.178,0.78
2008,Arkansas,2875,6000,2190,1427,185,118,415,996,32141,21787,34957,-1.2,32.5,193.44,96.951,0.77
2009,Arkansas,2897,6238,2297,1424,189,136,422,1055,31372,21170,33837,-0.2,31.9,179.559,100,0.76
2010,Arkansas,2922,6412,2357,1399,202,148,433,1055,31798,21653,34671,2.9,32.3,179.413,103.278,0.75
2011,Arkansas,2939,6585,2407,1449,220,157,434,1057,33780,22579,35146,0.2,32.4,183.109,103.422,0.72
2012,Arkansas,2951,6804,2530,1485,231,172,439,1036,36149,23016,34965,0.6,32.5,187.157,104.341,0.72
2013,Arkansas,2959,6929,2558,1497,246,170,440,1047,35985,23570,35865,0.5,32.5,190.307,104.656,0.75
2014,Arkansas,2967,7408,2673,1635,262,181,440,1169,37980,24068,36274,0.6,32.5,194.555,105.729,0.74
2003,California,35253,4489,1520,1307,171,138,214,585,35234,24016,49501,2.5,32.7,186.157,89.182,0.81
2004,California,35575,4781,1615,1389,177,158,219,620,37551,25437,51520,2.6,32.7,188.63,91.953,0.82
2005,California,35828,5107,1709,1508,174,183,230,660,39521,26920,53320,1.5,32.6,191.757,93.861,0.8
2006,California,36021,5397,1812,1549,182,200,247,729,42334,28487,54842,0.4,32.7,196.156,94.68,0.81
2007,California,36250,5776,1898,1676,196,229,265,783,43692,29772,55154,0.4,32.7,197.541,96.178,0.78
2008,California,36604,6038,2015,1734,208,233,285,809,44162,29852,54454,-1.2,32.5,193.44,96.951,0.77
2009,California,36961,6210,2134,1730,214,240,308,829,42224,28208,51733,-0.2,31.9,179.559,100,0.76
2010,California,37333,6480,2310,1809,208,245,324,826,43317,28924,51871,2.9,32.3,179.413,103.278,0.75
2011,California,37677,6737,2451,1852,205,256,341,843,45849,30013,52099,0.2,32.4,183.109,103.422,0.72
2012,California,38011,7018,2561,1877,209,275,352,846,48369,30879,52974,0.6,32.5,187.157,104.341,0.72
2013,California,38335,7256,2695,1897,209,287,360,875,48570,31400,53855,0.5,32.5,190.307,104.656,0.75
2014,California,38681,7549,2753,1983,217,291,383,955,51344,32695,55598,0.6,32.5,194.555,105.729,0.74
2003,Colorado,4529,4569,1543,1304,201,87,247,522,35132,26066,50743,2.5,32.7,186.157,89.182,0.81
2004,Colorado,4575,4831,1669,1348,204,93,256,549,35947,27201,50083,2.6,32.7,188.63,91.953,0.82
2005,Colorado,4632,4937,1700,1357,200,97,278,581,38025,28540,51473,1.5,32.6,191.757,93.861,0.8
2006,Colorado,4720,5264,1834,1467,203,97,279,648,40143,29598,51515,0.4,32.7,196.156,94.68,0.81
2007,Colorado,4804,5522,1952,1449,218,127,306,695,41996,30483,52094,0.4,32.7,197.541,96.178,0.78
2008,Colorado,4890,5685,2049,1476,236,129,326,668,42663,30687,51651,-1.2,32.5,193.44,96.951,0.77
2009,Colorado,4972,5882,2209,1481,235,141,344,641,39838,29373,49731,-0.2,31.9,179.559,100,0.76
2010,Colorado,5049,5979,2326,1468,248,152,356,599,39926,29851,49254,2.9,32.3,179.413,103.278,0.75
2011,Colorado,5118,6129,2363,1509,272,162,371,601,42955,31169,49285,0.2,32.4,183.109,103.422,0.72
2012,Colorado,5190,6306,2439,1523,286,173,379,611,45089,31902,49639,0.6,32.5,187.157,104.341,0.72
2013,Colorado,5268,6472,2600,1516,304,181,383,605,46824,32647,50475,0.5,32.5,190.307,104.656,0.75
2014,Colorado,5350,6804,2739,1602,325,192,385,681,49952,34246,52064,0.6,32.5,194.555,105.729,0.74
2003,Connecticut,3484,6226,1852,1455,220,207,720,908,45468,28233,61419,2.5,32.7,186.157,89.182,0.81
2004,Connecticut,3496,6739,2001,1575,233,218,733,993,47710,30008,65034,2.6,32.7,188.63,91.953,0.82
2005,Connecticut,3507,6997,2021,1550,237,227,779,1201,50226,31917,66032,1.5,32.6,191.757,93.861,0.8
2006,Connecticut,3517,7391,2211,1647,239,223,804,1216,54191,33653,67458,0.4,32.7,196.156,94.68,0.81
2007,Connecticut,3527,7793,2310,1758,261,232,852,1294,57919,34906,70096,0.4,32.7,197.541,96.178,0.78
2008,Connecticut,3546,8219,2450,1853,276,246,873,1301,61232,35348,68777,-1.2,32.5,193.44,96.951,0.77
2009,Connecticut,3562,8740,2684,1909,288,251,862,1347,60428,33951,65574,-0.2,31.9,179.559,100,0.76
2010,Connecticut,3580,8863,2830,1938,288,255,858,1308,62126,34610,64906,2.9,32.3,179.413,103.278,0.75
2011,Connecticut,3590,8950,2981,1995,290,267,858,1313,63849,35596,63638,0.2,32.4,183.109,103.422,0.72
2012,Connecticut,3594,9300,3115,2093,298,266,847,1309,65032,36208,63502,0.6,32.5,187.157,104.341,0.72
2013,Connecticut,3596,9517,3268,2103,304,278,842,1350,64131,37053,62550,0.5,32.5,190.307,104.656,0.75
2014,Connecticut,3592,9859,3326,2186,322,296,854,1476,66558,38642,62171,0.6,32.5,194.555,105.729,0.74
2003,Delaware,818,6164,2142,1625,196,125,381,881,38187,25124,67956,2.5,32.7,186.157,89.182,0.81
2004,Delaware,831,6618,2305,1682,213,128,435,954,39000,26507,69500,2.6,32.7,188.63,91.953,0.82
2005,Delaware,845,6980,2527,1722,226,141,472,984,39469,27898,67525,1.5,32.6,191.757,93.861,0.8
2006,Delaware,859,7315,2672,1768,220,156,460,1111,41343,29082,67857,0.4,32.7,196.156,94.68,0.81
2007,Delaware,872,7726,2861,1837,235,159,524,1158,41834,30125,66344,0.4,32.7,197.541,96.178,0.78
2008,Delaware,884,8136,2951,1967,249,185,567,1221,41832,30549,62535,-1.2,32.5,193.44,96.951,0.77
2009,Delaware,892,8405,3043,2031,263,203,611,1237,41317,29424,64313,-0.2,31.9,179.559,100,0.76
2010,Delaware,900,8822,3368,2059,282,215,614,1244,41088,30230,62837,2.9,32.3,179.413,103.278,0.75
2011,Delaware,908,9213,3528,2167,296,234,599,1288,43712,31220,63793,0.2,32.4,183.109,103.422,0.72
